day,operation,price,investment,total balance
0,buy,135.1199951171875,0,98648.80004882812
1,sell,136.3800048828125,0.932511701567346,100012.60009765625
2,buy,135.35000610351562,0,98659.1000366211
3,sell,137.94000244140625,1.913554651715196,100038.50006103516
11,buy,134.75,0,98691.00006103516
12,buy,135.0800018310547,0,97340.20004272461
13,buy,137.27000427246094,0,95967.5
14,sell,138.4499969482422,2.745823338213126,97351.99996948242
15,buy,139.1199951171875,0,95960.80001831055
16,sell,139.97999572753906,3.6274754442280988,97360.59997558594
17,sell,140.32000732421875,2.221900602336983,98763.80004882812
18,sell,139.1300048828125,0.007195058924900257,100155.10009765625
20,buy,139.58999633789062,0,98759.20013427734
21,buy,138.94000244140625,0,97369.80010986328
22,buy,141.08999633789062,0,95958.90014648438
23,sell,141.9199981689453,1.6691753651276704,97378.10012817383
24,sell,143.64999389648438,3.389946287833428,98814.60006713867
25,sell,142.63999938964844,1.0985917442692208,100241.00006103516
34,buy,138.55999755859375,0,98855.40008544922
35,buy,139.6699981689453,0,97458.70010375977
36,buy,140.92999267578125,0,96049.40017700195
37,sell,142.16000366210938,2.5981568756835953,97471.00021362305
38,sell,143.35000610351562,2.6347877015928374,98904.5002746582
39,sell,142.5500030517578,1.149514269615768,100330.00030517578
43,buy,138.6199951171875,0,98943.8003540039
44,buy,137.8000030517578,0,97565.80032348633
45,buy,130.33999633789062,0,96262.40036010742
46,buy,133.64999389648438,0,94925.90042114258
47,buy,131.25,0,93613.40042114258
48,buy,134.6199951171875,0,92267.2004699707
49,buy,128.25999450683594,0,90984.60052490234
50,buy,130.75,0,89677.10052490234
51,buy,125.80999755859376,0,88419.0005493164
53,buy,130.5500030517578,0,87113.50051879883
54,buy,127.18000030517578,0,85841.70051574707
55,buy,126.83999633789062,0,84573.30055236816
56,buy,124.91000366210938,0,83324.20051574707
57,buy,128.49000549316406,0,82039.30046081543
58,buy,128.8800048828125,0,80750.5004119873
60,buy,128.75,0,79463.0004119873
61,sell,130.30999755859375,-5.994804394249609,80766.10038757324
62,buy,130.16000366210938,0,79464.50035095215
64,buy,127.61000061035156,0,78188.40034484863
65,buy,127.47000122070312,0,76913.7003326416
66,buy,127.88999938964844,0,75634.80033874512
67,buy,128.52000427246094,0,74349.60029602051
68,buy,128.5,0,73064.60029602051
69,buy,128.99000549316406,0,71774.70024108887
70,sell,138.72999572753906,0.6748858165351012,73162.00019836426
72,sell,141.39999389648438,8.485497828250699,74576.0001373291
74,buy,140.80999755859375,0,73167.90016174316
76,buy,140.72999572753906,0,71760.60020446777
77,buy,137.6699981689453,0,70383.90022277832
79,sell,137.0500030517578,2.543965065877099,71754.4002532959
81,sell,141.1999969482422,7.580950055803572,73166.40022277832
82,sell,138.9199981689453,3.1941785824718196,74555.60020446777
83,sell,135.97999572753906,6.019025067314866,75915.40016174316
84,sell,134.1199951171875,2.577434124043977,77256.60011291504
85,sell,136.74000549316406,8.687710155530242,78624.00016784668
86,buy,137.07000732421875,0,77253.30009460449
87,buy,136.41000366210938,0,75889.2000579834
88,buy,136.47999572753906,0,74524.40010070801
89,buy,136.0500030517578,0,73163.90007019043
90,sell,134.10000610351562,2.71926692360963,74504.90013122559
91,buy,135.22999572753906,0,73152.6001739502
94,sell,139.5,9.687057450276509,74547.6001739502
96,sell,138.02999877929688,8.822140306277733,75927.90016174316
97,buy,136.58999633789062,0,74562.00019836426
99,buy,135.6699981689453,0,73205.3002166748
100,buy,136.94000244140625,0,71835.90019226074
101,buy,137.4600067138672,0,70461.30012512207
102,buy,135.7100067138672,0,69104.2000579834
103,buy,137.5800018310547,0,67728.40003967285
104,sell,140.47000122070312,12.456966697947326,69133.10005187988
105,sell,139.08999633789062,8.249661756992067,70524.00001525879
107,buy,140.69000244140625,0,69117.09999084473
108,buy,140.72999572753906,0,67709.80003356934
109,sell,141.00999450683594,9.411847582604413,69119.8999786377
110,sell,141.0,9.514563106796116,70529.8999786377
111,buy,142.02000427246094,0,69109.69993591309
112,buy,141.49000549316406,0,67694.79988098145
113,sell,143.08999633789062,9.933921567294234,69125.69984436035
114,sell,143.25999450683594,12.263924317554519,70558.29978942871
115,buy,142.52999877929688,0,69132.99980163574
117,sell,139.5800018310547,9.500274962251048,70528.79981994629
118,sell,138.85000610351562,8.569870018119886,71917.29988098145
119,buy,139.19000244140625,0,70525.39985656738
120,buy,139.1999969482422,0,69133.39988708496
121,buy,138.58999633789062,0,67747.49992370605
122,buy,143.42999267578125,0,66313.19999694824
123,sell,145.44000244140625,13.165264244058934,67767.6000213623
124,sell,146.61000061035156,14.093385688989542,69233.70002746582
125,sell,144.63999938964844,12.132718218477603,70680.1000213623
127,sell,144.33999633789062,2.5069234006825223,72123.49998474121
128,sell,145.14999389648438,3.14076480006627,73574.99992370605
130,buy,148.14999389648438,0,72093.49998474121
131,sell,148.8699951171875,8.135394128863007,73582.19993591309
132,sell,149.77000427246094,9.265336156437368,75079.8999786377
133,sell,153.3800048828125,12.440437479012315,76613.70002746582
134,sell,153.66000366210938,12.58793117847652,78150.30006408691
135,sell,154.25,13.377432223443847,79692.80006408691
136,sell,156.14999389648438,15.469939236776176,81254.30000305176
137,sell,154.9499969482422,13.441687607146106,82803.79997253418
138,sell,158.0,16.459056631848615,84383.79997253418
139,sell,156.82000732421875,14.517310156554682,85952.00004577637
140,sell,157.75999450683594,14.767922887727353,87529.59999084473
141,sell,156.02000427246094,14.965733220701715,89089.80003356934
142,sell,156.91000366210938,14.050008412408307,90658.90007019043
143,sell,157.9600067138672,12.275217835505723,92238.5001373291
